Name,Frequency,Effect,Trigger,Target,Keywords,Effect 2
Aqua Boost,At-Will - Free Action,The allied target gains a +5 Bonus to its damage roll with the triggering Move.  A target may not benefit from more than one instance of Aqua Boost at a time.  ,An adjacent Ally uses a Water-Type Move,,,"Trigger - An adjacent Ally uses a Water-Type Move
The allied target gains a +5 Bonus to its damage roll with the triggering Move.  A target may not benefit from more than one instance of Aqua Boost at a time.  "
Arena Trap,Scene -  Free Action,"Once Arena trap is activated, all foes within 5 meters of the user are considered Slowed. This does not affect targets of the Flying Type, or with a Levitate, Sky, or Burrow Speed of 4 or higher. The user may end the effect as a Free Action, and the effect ends if the user is fainted or returned to a Poké Ball.",,Pokémon or Trainers,,"Target - Pokémon or Trainers
Once Arena trap is activated, all foes within 5 meters of the user are considered Slowed. This does not affect targets of the Flying Type, or with a Levitate, Sky, or Burrow Speed of 4 or higher. The user may end the effect as a Free Action, and the effect ends if the user is fainted or returned to a Poké Ball."
Aroma Veil,Static,"The user and all Pokémon and Trainers within 3 meters cannot be Confused, Enraged, or Suppressed. Defensive.",,,,"The user and all Pokémon and Trainers within 3 meters cannot be Confused, Enraged, or Suppressed. Defensive."
Aura Break,Static,Foes may not benefit from Abilities that increase the Combat Stages or damage dealt by themselvs or their allies.,,,,Foes may not benefit from Abilities that increase the Combat Stages or damage dealt by themselvs or their allies.
Aura Storm,Static,"For each injury the user has, they gain a +3 Damage bonus to all Moves with the Aura keyword. Additionally, while the user is at or under ½ of their Max Hit Points, they gain a +3 Damage Bonus to all Moves with the Aura Keyword.",,,,"For each injury the user has, they gain a +3 Damage bonus to all Moves with the Aura keyword. Additionally, while the user is at or under ½ of their Max Hit Points, they gain a +3 Damage Bonus to all Moves with the Aura Keyword."
Bad Dreams,Static,"At the beginning of the user’s turn, all Sleeping Pokémon or Trainers in a Burst 5 lose a Tick of Hit Points.",,,,"At the beginning of the user’s turn, all Sleeping Pokémon or Trainers in a Burst 5 lose a Tick of Hit Points."
Battle Armor,Static,The user is immune to Critical Hits; they are instead normal hits. Defensive.,,,,The user is immune to Critical Hits; they are instead normal hits. Defensive.
Beam Cannon,Static,"The Effect Range and Critical Hit Range of the user's Ranged, 1-Target Moves are increased by 3.",,,,"The Effect Range and Critical Hit Range of the user's Ranged, 1-Target Moves are increased by 3."
Beautiful,Scene - Swift Action,"The user may activate Beautiful to either grain +2 Beauty DIce in a Contest, or to cure any adjacent targets of the Enraged Condition.",,,,"The user may activate Beautiful to either grain +2 Beauty DIce in a Contest, or to cure any adjacent targets of the Enraged Condition."
Berry Storage,Daily – Extended Action,The user gains 3 instances of the Berry’s Digestion/Food Buff instead of 1. It may only trade in one of these Digestion/Food Buffs each Scene. Neither storing nor trading in these Digestion/Food Buffs counts against the user’s normal limits. All Digestion/Food Buffs gained from Berry Storage are lost after an Extended Rest.,The user eats a Berry,,,"Trigger - The user eats a Berry
The user gains 3 instances of the Berry’s Digestion/Food Buff instead of 1. It may only trade in one of these Digestion/Food Buffs each Scene. Neither storing nor trading in these Digestion/Food Buffs counts against the user’s normal limits. All Digestion/Food Buffs gained from Berry Storage are lost after an Extended Rest."
Big Pecks,Static,The user cannot have its Defense Stat lowered. The user cannot have its Defense Combat Stages lowered. Defensive.,,,,The user cannot have its Defense Stat lowered. The user cannot have its Defense Combat Stages lowered. Defensive.
Big Swallow,Static,"Connection - Stockpile. Whenever the user uses Swallow or Spit Up, it may treat the Stockpile Count as if it was one higher. This Ability has no effect if the Stockpile Counter is already 3.",,,,"Connection - Stockpile. Whenever the user uses Swallow or Spit Up, it may treat the Stockpile Count as if it was one higher. This Ability has no effect if the Stockpile Counter is already 3."
Blaze,Static,The user gains Last Chance with Fire.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Fire."
Blessed Touch,Daily x2 - Standard Action,An adjacent Pokémon or Trainer gains Hit Points equal to 1/4th of its maximum Hit Points.,,,,An adjacent Pokémon or Trainer gains Hit Points equal to 1/4th of its maximum Hit Points.
Blow Away,Static,"Connection - Whirlwind. When the user uses Whirlwind, all targets hit lose a Tick of Hit Points.",,,,"Connection - Whirlwind. When the user uses Whirlwind, all targets hit lose a Tick of Hit Points."
Blur,Static,"Attacks and Moves targeting you that don’t require an Accuracy Check now require one, as though they had an Accuracy Check of 2. You may only apply half of your Evasion to these Attacks and Moves. Defensive.",,,,"Attacks and Moves targeting you that don’t require an Accuracy Check now require one, as though they had an Accuracy Check of 2. You may only apply half of your Evasion to these Attacks and Moves. Defensive."
Bodyguard,Scene -  Free Action,"The user and the target switch places, and the user becomes the target of the attack instead, taking damage from the attack as if resisted one step further. If switching places would not move the triggering Ally out of the area-of-effect of a Burst, Blast, Cone, or Line, this Ability does not prevent the ally from being hit. Defensive.",A cardinally adjacent Ally is hit by an attack,,,"Trigger - A cardinally adjacent Ally is hit by an attack
The user and the target switch places, and the user becomes the target of the attack instead, taking damage from the attack as if resisted one step further. If switching places would not move the triggering Ally out of the area-of-effect of a Burst, Blast, Cone, or Line, this Ability does not prevent the ally from being hit. Defensive."
Bone Lord,Scene -  Free Action,Connection – Bonemerang. This Ability may be activated when hitting with Bone Club to automatically Flinch its target; or to use Bonemerang as a Priority Move; or when hitting with Bone Rush to cause the attack to automatically hit 5 times.,"The user hits with Bone Club, Bonemerang, or Bone Rush",,,"Trigger - The user hits with Bone Club, Bonemerang, or Bone Rush
Connection – Bonemerang. This Ability may be activated when hitting with Bone Club to automatically Flinch its target; or to use Bonemerang as a Priority Move; or when hitting with Bone Rush to cause the attack to automatically hit 5 times."
Bone Wielder,Static,"This ability is only functional if the user is holding a Thick Club item. The user gains a +1 Accuracy Bonus to Bone Club, Bonemerang, and Bone Rush. Additionally, the user cannot be disarmed, or have their Thick Club forcefully removed by Trick, Switcheroo, Thief, or any other Moves or effects unless the user wishes it.",,,,"This ability is only functional if the user is holding a Thick Club item. The user gains a +1 Accuracy Bonus to Bone Club, Bonemerang, and Bone Rush. Additionally, the user cannot be disarmed, or have their Thick Club forcefully removed by Trick, Switcheroo, Thief, or any other Moves or effects unless the user wishes it."
Brimstone,Static,"Whenever the user causes a Burn with a damaging Fire-Type Attack, the target is also Poisoned.",,,,"Whenever the user causes a Burn with a damaging Fire-Type Attack, the target is also Poisoned."
Bulletproof,Static,"The user resists all X target ranged attacks one step further. This refers to attacks and Moves that simply hit one target or specify hitting multiple targets, such as Razor Wind hitting three targets. It has no effect on Moves that are capable of hitting multiple targets through areas of effect, such as Bursts or Cones. Defensive.",,,,"The user resists all X target ranged attacks one step further. This refers to attacks and Moves that simply hit one target or specify hitting multiple targets, such as Razor Wind hitting three targets. It has no effect on Moves that are capable of hitting multiple targets through areas of effect, such as Bursts or Cones. Defensive."
Bully,Scene -  Free Action,"The target of the attack  is pushed 2 Meters, becomes Tripped, and gains an Injury.",The user hits the target for Super-Effective Damage with a Melee Move.,,,"Trigger - The user hits the target for Super-Effective Damage with a Melee Move.
The target of the attack  is pushed 2 Meters, becomes Tripped, and gains an Injury."
Cave Crasher,Static,The user resists Ground-Type and Rock-Type attacks one step further. Defensive.,,,,The user resists Ground-Type and Rock-Type attacks one step further. Defensive.
Celebrate,At-Will - Free Action,The user increases their Speed by 1 Combat Stage and may immediately take an additional Shift Action to move as if they were Slowed. This Ability may only be activated if the user is not prevented from shifting.,The user causes a foe to Faint by using a damaging attack,,,"Trigger - The user causes a foe to Faint by using a damaging attack
The user increases their Speed by 1 Combat Stage and may immediately take an additional Shift Action to move as if they were Slowed. This Ability may only be activated if the user is not prevented from shifting."
Cherry Power,Daily - Swift Action,"The user gains 15 Temporary Hit Points, and is cured of all Persistent Status Afflictions.",,,,"The user gains 15 Temporary Hit Points, and is cured of all Persistent Status Afflictions."
Chlorophyll,Static,"While in Sunny Weather, the user gains +4 Speed Combat Stages.",,,,"While in Sunny Weather, the user gains +4 Speed Combat Stages."
Clay Cannons,At-Will - Swift Action,"Until the end of the round, the user may originate any Ranged Move they use from any square adjacent to itself.",,,,"Until the end of the round, the user may originate any Ranged Move they use from any square adjacent to itself."
Clear Body,Static,"The user’s Combat Stages may not be lowered by the effect of foes’ Features, Abilities, or Moves. Status Affictions may still alter their Combat Stages. Defensive.",,,,"The user’s Combat Stages may not be lowered by the effect of foes’ Features, Abilities, or Moves. Status Affictions may still alter their Combat Stages. Defensive."
Cloud Nine,Scene -  Free Action,The weather of the Field is set to Normal.,,,,The weather of the Field is set to Normal.
Cluster Mind,Static,The user's Move Pool limit is increased by +2.,,,,The user's Move Pool limit is increased by +2.
Color Change,At-Will - Free Action,The User's Type changes to match the Type of the triggering Move.,The user is hit by a Move,,,"Trigger - The user is hit by a Move
The User's Type changes to match the Type of the triggering Move."
Color Theory,Static,"Upon gaining this ability at Birth, the user rolls 1d12 to determine the color of their tail secretions. 1 = Red; 2 = Red-Orange; 3 = Orange; 4 = Yellow- Orange; 5 = Yellow; 6 = Yellow-Green; 7 = Green; 8 = Blue-Green; 9 = Blue; 10 = Blue-Violet; 11 = Violet; 12 = Red-Violet.

Red is tied to Attack, Orange is tied to Defense, Yellow is tied to Special Attack, Green is tied to Special Defense, Blue is tied to Speed, Violet is tied to HP. Users with a “Pure” Color (Red, Orange, Yellow, etc) gain a +6 Bonus to the Base Stat tied to their color. Users with a “Mixed” Color (Red-Orange, Yellow-Orange, etc) gain a +3 Bonus to each Stat tied to the color.",,,,"Upon gaining this ability at Birth, the user rolls 1d12 to determine the color of their tail secretions. 1 = Red; 2 = Red-Orange; 3 = Orange; 4 = Yellow- Orange; 5 = Yellow; 6 = Yellow-Green; 7 = Green; 8 = Blue-Green; 9 = Blue; 10 = Blue-Violet; 11 = Violet; 12 = Red-Violet.

Red is tied to Attack, Orange is tied to Defense, Yellow is tied to Special Attack, Green is tied to Special Defense, Blue is tied to Speed, Violet is tied to HP. Users with a “Pure” Color (Red, Orange, Yellow, etc) gain a +6 Bonus to the Base Stat tied to their color. Users with a “Mixed” Color (Red-Orange, Yellow-Orange, etc) gain a +3 Bonus to each Stat tied to the color."
Competitive,Static,"Whenever the user has its Combat Stages lowered, by something other than its own Moves or Abilities, the user’s Special Attack is raised 2 Combat Stages.",,,,"Whenever the user has its Combat Stages lowered, by something other than its own Moves or Abilities, the user’s Special Attack is raised 2 Combat Stages."
Compound Eyes,Static,The user gains a +3 Bonus to all Accuracy Rolls.,,,,The user gains a +3 Bonus to all Accuracy Rolls.
Confidence,Scene - Standard Action,Choose a Combat Stat. All allies within 5 meters of the user gain +1 CS in the Chosen Stat.,,,,Choose a Combat Stat. All allies within 5 meters of the user gain +1 CS in the Chosen Stat.
Contrary,Static,"If something would raise the user’s Combat Stages, it instead lowers the user’s Combat Stages by the same amount. If something would lower the user’s Combat Stages, it instead raises the user’s Combat Stages by the same amount.",,,,"If something would raise the user’s Combat Stages, it instead lowers the user’s Combat Stages by the same amount. If something would lower the user’s Combat Stages, it instead raises the user’s Combat Stages by the same amount."
Conqueror,Scene - Free Action,"The user's Attack, Special Attack, and Speed gain +1 Combat Stage.",The user causes a foe to Faint by using a damaging Physical or Special Attack,,,"Trigger - The user causes a foe to Faint by using a damaging Physical or Special Attack
The user's Attack, Special Attack, and Speed gain +1 Combat Stage."
Copy Master,Static,"Connection - Copycat. Whenever the user uses Copycat or Mimic, it gains +1 Combat Stage in a Stat of its choIce after the Move is resolved.",,,,"Connection - Copycat. Whenever the user uses Copycat or Mimic, it gains +1 Combat Stage in a Stat of its choIce after the Move is resolved."
Corrosive Toxins,Scene -  Free Action,"Connection - Toxic. The user may activate this Ability when using Toxic to allow the Move to ignore Immunity to the Status Affliction, Blessings, and the effects of Abilities that may prevent Hit Point loss from being Badly Poisoned (such as Magic Guard or Poison Heal).",,,,"Connection - Toxic. The user may activate this Ability when using Toxic to allow the Move to ignore Immunity to the Status Affliction, Blessings, and the effects of Abilities that may prevent Hit Point loss from being Badly Poisoned (such as Magic Guard or Poison Heal)."
Courage,Static,"While at or under 1/3rd of its Max Hit Point value, the user gains a +5 Damage Bonus to all Damage Rolls, and 5 Damage Reduction. Defensive.",,,,"While at or under 1/3rd of its Max Hit Point value, the user gains a +5 Damage Bonus to all Damage Rolls, and 5 Damage Reduction. Defensive."
Covert,Static,"If this Pokémon is standing on a terrain related to its natural habitat, its Evasion is increased by +2. For Ice types, this is generally snowy or icy terrain; Ground and Ground types are apt to feel at home in sandy terrain or craggy rocks; Grass types, Bug Types, and others likely feel at home in long grass. Some Pokémon may be at home in several types of terrain.",,,,"If this Pokémon is standing on a terrain related to its natural habitat, its Evasion is increased by +2. For Ice types, this is generally snowy or icy terrain; Ground and Ground types are apt to feel at home in sandy terrain or craggy rocks; Grass types, Bug Types, and others likely feel at home in long grass. Some Pokémon may be at home in several types of terrain."
Cruelty,Scene - Swift Action,"After Damage is Resolved, the foe gains an Injury. The user is then informed of the total number of Injuries currently on the target, and may use that number to “purchase” the effects listed below.
»» 1 Injury: The target loses 2 Hit Points. May be “purchased” multiple times.
»» 1 Injury: The target is Slowed.
»» 2 Injuries: Until the end of the encounter, the target may not gain Hit Points or Temporary Hit Points from any source. This effect ends if the target is switched out or Takes a Breather.",The user hits a foe with a damaging attack,,,"Trigger - The user hits a foe with a damaging attack
After Damage is Resolved, the foe gains an Injury. The user is then informed of the total number of Injuries currently on the target, and may use that number to “purchase” the effects listed below.
»» 1 Injury: The target loses 2 Hit Points. May be “purchased” multiple times.
»» 1 Injury: The target is Slowed.
»» 2 Injuries: Until the end of the encounter, the target may not gain Hit Points or Temporary Hit Points from any source. This effect ends if the target is switched out or Takes a Breather."
Crush Trap,Scene - Free Action,"Connection - Wrap. When you activate this ability, the user may immediately deal damage to the target as if the user had hit with a Struggle Attack. There is no Accuracy Roll and thus this damage cannot miss, be a Critical Hit, or trigger any Effect Ranges. ",The user successfully grapples a target.,,,"Trigger - The user successfully grapples a target.
Connection - Wrap. When you activate this ability, the user may immediately deal damage to the target as if the user had hit with a Struggle Attack. There is no Accuracy Roll and thus this damage cannot miss, be a Critical Hit, or trigger any Effect Ranges. "
Cursed Body,Scene -  Free Action,The Move becomes Disabled.,The user is hit by a Damaging Move.,,,"Trigger - The user is hit by a Damaging Move.
The Move becomes Disabled."
Cute Charm,Scene -  Free Action,The foe becomes Infatuated.,A foe of the opposite gender attacks the user with a Melee Attack,,,"Trigger - A foe of the opposite gender attacks the user with a Melee Attack
The foe becomes Infatuated."
Cute Tears,Scene - Free Action,The attacking foe loses 2 Combat Stages in the Attack Stat used by the triggering Move.,The user is hit by a Damaging Move.,,,"Trigger - The user is hit by a Damaging Move.
The attacking foe loses 2 Combat Stages in the Attack Stat used by the triggering Move."
Damp,Static,The Moves Self-Destruct and Explosion may not be used when a Pokémon with Damp is within 10-meters of Self-Destruct or Explosion’s user. The Ability Aftermath may not be activated when a Pokémon with Damp is within 10-meters of the Pokémon attempting to activate Aftermath.,,,,The Moves Self-Destruct and Explosion may not be used when a Pokémon with Damp is within 10-meters of Self-Destruct or Explosion’s user. The Ability Aftermath may not be activated when a Pokémon with Damp is within 10-meters of the Pokémon attempting to activate Aftermath.
Danger Syrup,Scene -  Free Action,"Connection - Sweet Scent.  If the user it hit by a damaging attack, it may use Sweet Scent as a Free action, frequency allowing.",,,,"Connection - Sweet Scent.  If the user it hit by a damaging attack, it may use Sweet Scent as a Free action, frequency allowing."
Dark Art,Static,The user gains Last Chance with Dark.,,,Last Chance,"Keywords - Last Chance
The user gains Last Chance with Dark."
Dark Aura,Static,The user and all allies have the Damage Base of their damaging Dark Type Attacks increased by +1.,,,,The user and all allies have the Damage Base of their damaging Dark Type Attacks increased by +1.
Daze,Scene - Standard Action,"Make an AC4 Status attack against a target within 6 meters.  If you hit, the target falls Asleep.",,,,"Make an AC4 Status attack against a target within 6 meters.  If you hit, the target falls Asleep."
Deadly Poison,Scene - Free Action,The target is Badly Poisoned instead.,The user Poisons a target,,,"Trigger - The user Poisons a target
The target is Badly Poisoned instead."
Decoy,Daily - Free Action,"The user uses the Move ""Follow Me"" as if it was on their Move List, and their Evasion is raised by +2 until the end of their next turn.",,,,"The user uses the Move ""Follow Me"" as if it was on their Move List, and their Evasion is raised by +2 until the end of their next turn."
Deep Sleep,Static,"When asleep, this Pokémon restores a Tick of Hit Points at the end of each turn.",,,,"When asleep, this Pokémon restores a Tick of Hit Points at the end of each turn."
Defeatist,Static,"Whenever the user is brought below 50% of their max Hit Points, the user’s Attack and Special Attack are lowered by 1 Combat Stage each, and the user’s Speed is increased by +2 Combat Stages. If the user is healed above 50% max Hit Points, these changes are reverted.",,,,"Whenever the user is brought below 50% of their max Hit Points, the user’s Attack and Special Attack are lowered by 1 Combat Stage each, and the user’s Speed is increased by +2 Combat Stages. If the user is healed above 50% max Hit Points, these changes are reverted."
Defiant,Static,"Whenever the user has its Combat Stages lowered, by something other than its own Moves or Abilities, the user’s Attack is raised 2 Combat Stages.",,,,"Whenever the user has its Combat Stages lowered, by something other than its own Moves or Abilities, the user’s Attack is raised 2 Combat Stages."
Defy Death,Daily - Swift Action,"By activating this Ability, the user is instantly healed of up to 2 Injuries;  These count towards the total number of Injuries that can be healed each day.  Additionally, to die, the user must reach -250% Hit Points instead of -200% Hit Points.",,,,"By activating this Ability, the user is instantly healed of up to 2 Injuries;  These count towards the total number of Injuries that can be healed each day.  Additionally, to die, the user must reach -250% Hit Points instead of -200% Hit Points."
Delayed Reaction,Scene -  Free Action,"Halve the damage taken by the user. At the end of the user’s next turn, the user loses Hit Points equal to the other half of the damage. For example, if the user is hit for 11 damage and triggers this Ability, the user would take 5 damage upon being hit and 6 damage at the end of its next turn. Defensive.",The user is hit by a direct damaging attack,,,"Trigger - The user is hit by a direct damaging attack
Halve the damage taken by the user. At the end of the user’s next turn, the user loses Hit Points equal to the other half of the damage. For example, if the user is hit for 11 damage and triggers this Ability, the user would take 5 damage upon being hit and 6 damage at the end of its next turn. Defensive."
Delivery Bird,Static,"The user may hold two Held Items at once. Whenever an Ability or Move affects the user’s Held Items, you may choose which one is affected.",,,,"The user may hold two Held Items at once. Whenever an Ability or Move affects the user’s Held Items, you may choose which one is affected."
Desert Weather,Static,"The user is immune to Sandstorm Damage, resists Fire-Type Moves in Sunny Weather, and regains 1/16th of its Max Hit Points at the end of each of its turns while in Rainy Weather.",,,,"The user is immune to Sandstorm Damage, resists Fire-Type Moves in Sunny Weather, and regains 1/16th of its Max Hit Points at the end of each of its turns while in Rainy Weather."
Diamond Defense,Static,"Connection - Stealth Rock. Stealth Rock’s Frequency is Scene x2, and the user’s Stealth Rocks can be treated as dealing Rock-Type or Fairy-Type Damage, whichever is more effective.",,,,"Connection - Stealth Rock. Stealth Rock’s Frequency is Scene x2, and the user’s Stealth Rocks can be treated as dealing Rock-Type or Fairy-Type Damage, whichever is more effective."
Dig Away,Daily - Free Action,"Connection - Dig. When hit by a Move, this Pokémon may activate this Feature to use Dig, frequency allowing, as an interrupt to avoid the attack and shift underground immediately. This consumes a command as normal. The terrain must allow for Dig to be used.",,,,"Connection - Dig. When hit by a Move, this Pokémon may activate this Feature to use Dig, frequency allowing, as an interrupt to avoid the attack and shift underground immediately. This consumes a command as normal. The terrain must allow for Dig to be used."
Discipline,Scene -  Free Action,"If the user gains initiative and is Confused, Enraged, Infatuated, or Flinched, they may activate Discipline to cure themselves of any of these conditions.",,,,"If the user gains initiative and is Confused, Enraged, Infatuated, or Flinched, they may activate Discipline to cure themselves of any of these conditions."
Dire Spore,Static,"Connection - Spore. Whenever the user hits a target with Spore, that target is also Poisoned.",,,,"Connection - Spore. Whenever the user hits a target with Spore, that target is also Poisoned."
Dodge,Daily - Free Action,The triggering Move instead misses. Defensive.,The user is hit by a Damaging Move.,,,"Trigger - The user is hit by a Damaging Move.
The triggering Move instead misses. Defensive."
Download,Scene -  Free Action,"The target must reveal whether its Defense or Special Defense Stats are lower. If the Defense Stat is lower, the user gains a +5 Damage Bonus with Physical Moves when attacking the target. If the Special Defense Stat is lower, the Damage Bonus is instead to Special Moves.",,Trainer or Pokémon,,"Target - Trainer or Pokémon
The target must reveal whether its Defense or Special Defense Stats are lower. If the Defense Stat is lower, the user gains a +5 Damage Bonus with Physical Moves when attacking the target. If the Special Defense Stat is lower, the Damage Bonus is instead to Special Moves."
Dreamspinner,Daily - Standard Action,"For each Sleeping Pokémon or Trainer within 10 meters, the user gains a Tick of Hit Points.",,,,"For each Sleeping Pokémon or Trainer within 10 meters, the user gains a Tick of Hit Points."
Drizzle,Scene - Swift Action,The Weather changes to be Rainy for 5 rounds.,,,,The Weather changes to be Rainy for 5 rounds.
Drown Out,Scene -  Free Action,"The user makes a Focus Check with a DC equal to the Move’s Accuracy Roll. If the user succeeds, the triggering Move fails.",A foe uses a Move with the Sonic keyword,,,"Trigger - A foe uses a Move with the Sonic keyword
The user makes a Focus Check with a DC equal to the Move’s Accuracy Roll. If the user succeeds, the triggering Move fails."
Drought,Scene -  Free Action,The Weather changes to be Sunny for 5 rounds.,,,,The Weather changes to be Sunny for 5 rounds.
Dry Skin,Static,"Whenever the user is hit by a damaging Fire-Type Move or ends their turn in Sunny Weather, they lose a Tick of Hit Points. The user is immune to the damage and effects of Water-Type Moves, and whenever the user is hit by a damaging Water-Type Move or ends their turn in Rainy Weather, they gain a Tick of Hit Points.",,,,"Whenever the user is hit by a damaging Fire-Type Move or ends their turn in Sunny Weather, they lose a Tick of Hit Points. The user is immune to the damage and effects of Water-Type Moves, and whenever the user is hit by a damaging Water-Type Move or ends their turn in Rainy Weather, they gain a Tick of Hit Points."
Dust Cloud,Scene -  Free Action,"Connection - PoisonPowder. Whenever the user uses PoisonPowder, Sleep Powder, or Stun Spore, the user may activate this Ability to use if it as if that move have a range of Burst 1 instead.",,,,"Connection - PoisonPowder. Whenever the user uses PoisonPowder, Sleep Powder, or Stun Spore, the user may activate this Ability to use if it as if that move have a range of Burst 1 instead."
Early Bird,Static,The user gains a +3 Bonus to rolls made due to Status Afflictions.,,,,The user gains a +3 Bonus to rolls made due to Status Afflictions.
Effect Spore,Scene -  Free Action,"Roll 1d6. On a result of 1 or 2, the attacker is Poisoned. On a result of 3 or 4, the attacker is Paralyzed. On a result of 5 or 6, the attacker falls asleep.",The user is hit by a Melee Attack,,,"Trigger - The user is hit by a Melee Attack
Roll 1d6. On a result of 1 or 2, the attacker is Poisoned. On a result of 3 or 4, the attacker is Paralyzed. On a result of 5 or 6, the attacker falls asleep."
Enfeebling Lips,Static,"Connection - Lovely Kiss. Whenever the user uses the Move ""Lovely Kiss"", they may choose a stat. If the Move successfully hits, the Pokémon or Trainer being targeted loses 2 combat stages in that stat.",,,,"Connection - Lovely Kiss. Whenever the user uses the Move ""Lovely Kiss"", they may choose a stat. If the Move successfully hits, the Pokémon or Trainer being targeted loses 2 combat stages in that stat."
Electrodash,Scene -  Free Action,The user may make a Sprint Action as a Swift Action.,,,,The user may make a Sprint Action as a Swift Action.
Enduring Rage,Static,"The user may not make rolls to cure themselved of the Enraged condition.  However, while Enraged, the user gains 5 Damage Reduction.",,,,"The user may not make rolls to cure themselved of the Enraged condition.  However, while Enraged, the user gains 5 Damage Reduction."
Exploit,Static,"Whenever you deal Super-Effective Damage to a target, that target treats your damage roll as if it were increased by +5.",,,,"Whenever you deal Super-Effective Damage to a target, that target treats your damage roll as if it were increased by +5."
Fabulous Trim,Static,"Furfrou’s Ability depends on its current hairstyle. A Furfrou’s hairstyle can be changed as an Extended Action at an appropriate hair parlor.

Star Trim: Celebrate
Diamond Trim: Defiant
Heart Trim: Cute Tears
Pharaoh Trim: Sand Veil
Kabuki Trim: Inner Focus
La Reine Trim: Intimidate
Matron Trim: Friend Guard
Dandy Trim: Moxie
Debutante Trim: Confidence",,,,"Furfrou’s Ability depends on its current hairstyle. A Furfrou’s hairstyle can be changed as an Extended Action at an appropriate hair parlor.

Star Trim: Celebrate
Diamond Trim: Defiant
Heart Trim: Cute Tears
Pharaoh Trim: Sand Veil
Kabuki Trim: Inner Focus
La Reine Trim: Intimidate
Matron Trim: Friend Guard
Dandy Trim: Moxie
Debutante Trim: Confidence"
Fade Away,"Scene - Standard Action, Interrupt","The user becomes Invisible until the beginning of their next turn, and may immediately Shift. This Ability may be activated as an Interrupt when hit by a Physical attack; the user may declare the use of Fade Away to avoid all damage and/or effects of the move. Defensive.",,,,"The user becomes Invisible until the beginning of their next turn, and may immediately Shift. This Ability may be activated as an Interrupt when hit by a Physical attack; the user may declare the use of Fade Away to avoid all damage and/or effects of the move. Defensive."
Fairy Aura,Static,The user and all allies have the Damage Base of their Damaging Fairy Type attacks increased by +1.,,,,The user and all allies have the Damage Base of their Damaging Fairy Type attacks increased by +1.
