Pokemon:,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type 1,Type 2,Overland,Sky,Swim,Levitate,Burrow,H Jump,L Jump,Power,Naturewalk,Capability 1,Capability 2,Capability 3,Capability 4,Capability 5,Capability 6,Capability 7,Capability 8,Capability 9,Size,Weight,EggGroup1,EggGroup2,Type1,Type2
Azumarill,10,5,8,5,8,5,Water,Fairy,5,0,5,0,0,1,2,4,Wetlands,Fountain,Underdog,-,-,-,-,-,-,-,Small,3,Water 1,Fairy,Water,Fairy
Azurill,5,2,4,2,4,2,Normal,Fairy,3,0,3,0,0,1,1,1,Wetlands,Fountain,Underdog,-,-,-,-,-,-,-,Small,1,Water 1,Fairy,Normal,Fairy
Bagon,5,8,6,4,3,5,Dragon,,4,0,2,0,0,1,1,4,-,Underdog,-,-,-,-,-,-,-,-,Small,3,Dragon,-,Dragon,None
Baltoy,4,4,6,4,7,6,Ground,Psychic,1,0,3,1,0,1,1,5,-,Dead Silent,Underdog,Volatile Bomb,-,-,-,-,-,-,Small,2,None,-,Ground,Psychic
Banette,6,12,7,8,6,7,Ghost,,5,0,0,6,0,1,2,2,-,Darkvision,Dead Silent,Invisibility,Phasing,Stealth,-,-,-,-,Medium,2,Indeterminate,-,Ghost,None
Barbaracle,7,11,12,5,9,7,Water,Rock,5,0,5,0,0,2,2,6,-,Gilled,Fountain,-,-,-,-,-,-,-,Medium,4,Water 1,Water 3,Rock,Water
Barboach,5,5,4,5,4,6,Water,Ground,2,0,4,0,2,2,2,1,Wetlands,Gilled,Fountain,Underdog,-,-,-,-,-,-,Small,1,Water 2,-,Water,Ground
Basculin,7,9,7,8,6,10,Water,,1,0,7,0,0,2,2,3,Ocean,Fountain,-,-,-,-,-,-,-,-,Medium,2,Water 2,-,Water,None
Bastiodon,6,5,17,5,14,3,Rock,Steel,4,0,3,0,0,0,1,8,"Mountain, Cave",Mountable 1,-,-,-,-,-,-,-,-,Medium,5,Monster,-,Rock,Steel
Bayleef,6,6,8,6,8,6,Grass,,7,0,4,0,0,2,2,3,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Medium,2,Monster,Plant,Grass,None
Beartic,10,11,8,7,8,5,Ice,,6,0,4,0,0,1,1,7,Tundra,Chilled,Freezer,-,-,-,-,-,-,-,Large,6,Field,-,Ice,None
Beautifly,6,7,5,10,5,7,Bug,Flying,2,9,2,0,0,1,1,3,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Medium,3,Bug,-,Bug,Flying
Beedrill,7,9,4,5,8,8,Bug,Poison,2,8,2,0,0,3,4,4,-,Underdog,-,-,-,-,-,-,-,-,Medium,3,Bug,-,Bug,Poison
Beheeyem,8,8,8,13,10,4,Psychic,,3,0,3,6,0,1,1,3,-,Telekinetic,Telepath,-,-,-,-,-,-,-,Medium,3,Humanshape,-,Psychic,None
Beldum,4,6,8,4,6,3,Steel,Psychic,1,0,1,4,0,1,1,5,-,Magnetic,Underdog,-,-,-,-,-,-,-,Small,4,Mineral,-,Steel,Psychic
Bellossom,8,8,9,9,10,5,Grass,,5,0,3,0,0,1,1,2,"Grassland, Forest",Alluring,-,-,-,-,-,-,-,-,Small,1,Plant,-,Grass,None
Bellsprout,5,8,4,7,3,4,Grass,Poison,4,0,3,0,1,1,1,1,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Plant,-,Grass,Poison
Bergmite,6,7,9,3,4,3,Ice,,4,0,2,0,0,1,1,3,Tundra,Freezer,Underdog,-,-,-,-,-,-,-,Small,4,Monster,-,Ice,None
Bibarel,8,9,6,6,6,7,Normal,Water,7,0,5,0,0,2,3,3,"Grassland, Wetlands",Fountain,Underdog,-,-,-,-,-,-,-,Medium,3,Water 1,Field,Normal,Water
Bidoof,6,5,4,4,4,3,Normal,,5,0,4,0,0,2,2,1,"Grassland, Wetlands",Underdog,-,-,-,-,-,-,-,-,Small,2,Water 1,Field,Normal,None
Binacle,4,5,7,4,6,5,Water,Rock,2,0,4,0,0,1,1,2,-,Gilled,Fountain,Underdog,-,-,-,-,-,-,Small,3,Water 1,Water 3,Rock,Water
Bisharp,7,13,10,6,7,7,Dark,Steel,7,0,4,0,0,1,2,7,-,Darkvision,Tracker,Stealth,Pack Mon,-,-,-,-,-,Medium,4,Humanshape,-,Dark,Steel
Blastoise,8,8,10,9,11,8,Water,,6,0,9,0,0,1,1,9,Grassland,Fountain,Mountable 1,-,-,-,-,-,-,-,Medium,4,Monster,Water 1,Water,None
Blaziken,8,12,7,11,7,8,Fire,Fight,10,0,4,0,0,3,4,7,Grassland,Firestarter,Heater,-,-,-,-,-,-,-,Medium,4,Field,-,Fire,Fighting
Blissey,26,1,1,8,14,6,Normal,,6,0,2,0,0,1,1,3,"Grassland, Urban",-,-,-,-,-,-,-,-,-,Medium,3,Fairy,-,Normal,None
Blitzle,5,6,3,5,3,8,Electric,,6,0,3,0,0,1,2,4,Grassland,Glow,Zapper,Underdog,-,-,-,-,-,-,Medium,3,Field,-,Electric,None
Boldore,7,11,11,5,4,2,Rock,,4,0,3,0,0,0,1,8,"Cave, Mountain",Underdog,-,-,-,-,-,-,-,-,Medium,5,Mineral,-,Rock,None
Bonsly,5,8,10,1,5,1,Rock,,3,0,2,0,0,0,1,1,Forest,Underdog,-,-,-,-,-,-,-,-,Small,2,Mineral,-,Rock,None
Bouffalant,10,11,10,4,10,6,Normal,,7,0,4,0,0,1,1,7,-,Pack Mon,Mountable 1,-,-,-,-,-,-,-,Large,4,Field,-,Normal,None
Braixen,6,6,6,9,7,7,Fire,,6,0,2,0,0,2,2,3,"Forest, Grassland",Firestarter,Tracker,Underdog,-,-,-,-,-,-,Medium,2,Field,-,Fire,None
Braviary,10,12,8,6,8,8,Normal,Flying,4,8,2,0,0,3,3,6,-,-,-,-,-,-,-,-,-,-,Large,3,Flying,-,Normal,Flying
Breloom,6,13,8,6,6,7,Grass,Fight,6,0,3,0,0,1,1,6,"Grassland, Forest",Mushroom Harvest,-,-,-,-,-,-,-,-,Medium,3,Fairy,Plant,Grass,Fighting
Bronzong,7,9,12,8,12,3,Steel,Psychic,1,0,3,6,0,1,1,8,-,Dead Silent,-,-,-,-,-,-,-,-,Medium,5,Mineral,-,Steel,Psychic
Bronzor,6,2,9,2,9,2,Steel,Psychic,1,0,2,4,0,1,1,4,-,Dead Silent,Underdog,-,-,-,-,-,-,-,Small,4,Mineral,-,Steel,Psychic
Budew,4,3,4,5,7,6,Grass,Poison,4,0,2,0,0,1,1,1,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Fairy,Plant,Grass,Poison
Buizel,6,7,4,6,3,9,Water,,6,0,5,0,0,2,2,2,"Ocean, Wetlands",Fountain,Underdog,-,-,-,-,-,-,-,Small,3,Water 1,Field,Water,None
Bulbasaur,5,5,5,7,7,5,Grass,Poison,5,0,3,0,0,0,2,2,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Monster,Plant,Grass,Poison
Buneary,6,7,4,4,6,9,Normal,,5,0,3,0,0,3,2,1,Grassland,Underdog,-,-,-,-,-,-,-,-,Small,1,Field,Humanshape,Normal,None
Bunnelby,4,4,4,3,4,6,Normal,,4,0,2,0,0,1,2,2,"Grassland, Mountain",Underdog,-,-,-,-,-,-,-,-,Small,1,Field,-,Normal,None
Burmy,4,3,5,3,5,4,Bug,,3,0,1,0,0,1,1,1,"Grassland, Forest",Threaded,Underdog,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,None
Butterfree,6,5,5,9,8,7,Bug,Flying,3,8,2,0,0,1,1,2,"Grassland, Forest",Wallclimber,Threaded,Underdog,-,-,-,-,-,-,Medium,3,Bug,-,Bug,Flying
Cacnea,5,9,4,9,4,4,Grass,,4,0,1,0,0,1,1,1,Desert,Underdog,-,-,-,-,-,-,-,-,Small,4,Plant,Humanshape,Grass,None
Cacturne,7,12,6,12,6,6,Grass,Dark,6,0,3,0,0,1,1,5,Desert,Darkvision,Stealth,-,-,-,-,-,-,-,Medium,4,Plant,Humanshape,Grass,Dark
Camerupt,7,10,7,11,8,4,Fire,Ground,5,0,2,0,0,1,1,10,"Desert, Mountain",Egg Warmer,Firestarter,Heater,Mountable 1,-,-,-,-,-,Large,6,Field,-,Fire,Ground
Carbink,5,5,15,5,15,5,Rock,Fairy,2,0,2,5,5,0,1,1,-,Materializer,-,-,-,-,-,-,-,-,Small,1,Fairy,Mineral,Rock,Fairy
Carnivine,7,10,7,9,7,5,Grass,,3,0,2,5,0,1,1,4,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Medium,3,Plant,-,Grass,None
Carracosta,7,11,13,8,7,3,Water,Rock,5,0,6,0,0,2,2,7,Ocean,Fountain,Mountable 1,-,-,-,-,-,-,-,Medium,4,Water 1,Water 3,Water,Rock
Carvanha,5,9,2,7,2,7,Water,Dark,1,0,6,0,0,2,2,2,Ocean,Darkvision,Gilled,Fountain,Underdog,-,-,-,-,-,Small,2,Water 2,-,Water,Dark
Cascoon,5,4,6,3,3,2,Bug,,1,0,2,0,0,1,1,1,"Grassland, Forest",Threaded,Underdog,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,None
Castform,7,7,7,7,7,7,Normal,,0,4,2,0,0,2,2,1,-,Guster,Weathershape,Underdog,-,-,-,-,-,-,Small,1,Fairy,Indeterminate,Normal,None
Caterpie,5,3,4,2,2,5,Bug,,5,0,2,0,0,1,1,1,"Grassland, Forest",Wallclimber,Threaded,Underdog,-,-,-,-,-,-,Small,1,Bug,-,Bug,None
Celebi,10,10,10,10,10,10,Psychic,Grass,7,6,4,0,0,2,2,2,"Grassland, Forest",Aura Reader,Glow,Sprouter,Telekinetic,Telepath,-,-,-,-,Small,1,None,-,Psychic,Grass
Chandelure,6,6,9,15,9,8,Ghost,Fire,1,0,4,7,0,1,1,3,-,Darkvision,Dead Silent,Phasing,Glow,Invisibility,Firestarter,Heater,Shrinkable,-,Medium,2,Indeterminate,-,Ghost,Fire
Chansey,25,1,1,4,11,5,Normal,,5,0,2,0,0,1,1,1,"Grassland, Urban",-,-,-,-,-,-,-,-,-,Medium,3,Fairy,-,Normal,None
Charizard,8,8,8,11,9,10,Fire,Flying,6,8,5,0,0,2,3,8,Mountain,Firestarter,Glow,Heater,Mountable 1,-,-,-,-,-,Medium,4,Monster,Dragon,Fire,Flying
Charmander,4,5,4,6,5,7,Fire,,5,0,3,0,0,1,1,2,Mountain,Firestarter,Glow,Underdog,-,-,-,-,-,-,Small,1,Monster,Dragon,Fire,None
Charmeleon,6,6,6,8,7,8,Fire,,6,0,4,0,0,1,1,4,Mountain,Firestarter,Glow,Underdog,-,-,-,-,-,-,Medium,2,Monster,Dragon,Fire,None
Chatot,8,7,5,9,4,9,Normal,Flying,2,5,1,0,0,2,2,2,-,Underdog,-,-,-,-,-,-,-,-,Small,1,Flying,-,Normal,Flying
Cherrim,7,6,7,9,8,9,Grass,,4,0,2,0,0,1,1,3,"Grassland, Forest",Bloom,-,-,-,-,-,-,-,-,Small,1,Fairy,Plant,Grass,None
Cherubi,5,4,5,6,5,4,Grass,,3,0,1,0,0,1,1,1,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Fairy,Plant,Grass,None
Chesnaught,9,11,12,7,8,6,Grass,Fight,7,0,4,0,0,2,2,7,"Grassland, Forest",-,-,-,-,-,-,-,-,-,Large,4,Field,-,Grass,Fighting
Chespin,6,6,7,5,5,4,Grass,,4,0,2,0,0,1,2,2,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Field,-,Grass,None
Chikorita,5,5,7,5,7,5,Grass,,5,0,3,0,0,1,1,2,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Monster,Plant,Grass,None
Chimchar,4,6,4,6,4,6,Fire,,5,0,3,0,0,1,2,2,"Forest, Mountain",Firestarter,Glow,Underdog,-,-,-,-,-,-,Small,1,Field,Humanshape,Fire,None
Chimecho,7,5,7,10,8,7,Psychic,,1,0,3,4,0,1,1,1,-,Telepath,Underdog,-,-,-,-,-,-,-,Small,1,Indeterminate,-,Psychic,None
Chinchou,8,4,4,6,6,7,Water,Electric,3,0,5,0,0,2,1,1,Ocean,Gilled,Fountain,Zapper,Glow,Underdog,-,-,-,-,Small,2,Water 2,-,Water,Electric
Chingling,5,3,5,7,5,5,Psychic,,1,0,2,3,0,1,1,2,-,Telepath,Underdog,-,-,-,-,-,-,-,Small,1,Indeterminate,-,Psychic,None
Cinccino,8,10,6,7,6,12,Normal,,7,0,3,0,5,2,3,2,"Grassland, Urban",-,-,-,-,-,-,-,-,-,Small,1,Field,-,Normal,None
Clamperl,4,6,9,7,6,3,Water,,1,0,4,0,0,2,1,2,Ocean,Gilled,Pearl Creation,Underdog,-,-,-,-,-,-,Small,4,Water 1,-,Water,None
Clauncher,5,5,6,6,6,4,Water,,3,0,4,0,0,1,1,2,Ocean,Gilled,Fountain,Underdog,-,-,-,-,-,-,Small,1,Water 1,Water 3,Water,None
Clawitzer,7,7,9,12,9,6,Water,,3,0,6,0,0,1,1,4,Ocean,Gilled,Fountain,-,-,-,-,-,-,-,Medium,3,Water 1,Water 3,Water,None
Claydol,6,7,11,7,12,8,Ground,Psychic,1,0,4,6,0,1,1,6,-,Dead Silent,Volatile Bomb,-,-,-,-,-,-,-,Medium,5,None,-,Ground,Psychic
Clefable,10,7,7,9,9,6,Fairy,,6,0,4,0,0,2,2,2,Cave,-,-,-,-,-,-,-,-,-,Medium,3,Fairy,-,Fairy,None
Clefairy,7,5,5,6,7,4,Fairy,,5,0,3,0,0,1,2,2,Cave,Underdog,-,-,-,-,-,-,-,-,Small,1,Fairy,-,Fairy,None
Cleffa,5,3,3,5,6,2,Fairy,,3,0,2,0,0,1,1,1,Cave,Underdog,-,-,-,-,-,-,-,-,Small,1,Fairy,-,Fairy,None
Cloyster,5,10,18,9,5,7,Water,Ice,2,0,5,0,0,0,0,4,Ocean,Fountain,Freezer,Gilled,-,-,-,-,-,-,Medium,5,Water 3,-,Water,Ice
Cobalion,9,9,13,9,7,11,Steel,Fight,7,0,6,0,0,3,3,7,Mountain,Mountable 1,-,-,-,-,-,-,-,-,Large,6,Field,-,Steel,Fighting
Cofagrigus,6,5,15,10,11,3,Ghost,,3,0,2,5,0,1,1,7,-,Darkvision,Dead Silent,Phasing,Invisibility,-,-,-,-,-,Medium,4,Mineral,Indeterminate,Ghost,None
Combee,3,3,4,3,4,7,Bug,Flying,1,4,1,0,0,1,1,1,-,Honey Gather,Underdog,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,Flying
Combusken,6,9,6,9,6,6,Fire,Fight,8,0,3,0,0,2,3,4,Grassland,Firestarter,Heater,Underdog,-,-,-,-,-,-,Small,2,Field,-,Fire,Fighting
Conkeldurr,11,14,10,6,7,5,Fight,,5,0,3,0,0,1,1,12,"Mountain, Urban",Wielder,-,-,-,-,-,-,-,-,Medium,4,Humanshape,-,Fighting,None
Corphish,4,8,7,5,4,4,Water,,4,0,3,0,1,1,1,2,-,Gilled,Underdog,-,-,-,-,-,-,-,Small,2,Water 1,Water 3,Water,None
Corsola,6,6,9,7,9,4,Water,Rock,3,0,4,0,0,1,1,3,Ocean,Gilled,Underdog,-,-,-,-,-,-,-,Small,1,Water 1,Water 3,Water,Rock
Cottonee,4,3,6,4,5,7,Grass,Fairy,4,0,1,0,0,2,2,1,-,Inflatable,Shrinkable,Underdog,-,-,-,-,-,-,Small,1,Plant,Fairy,Grass,Fairy
Cradily,9,8,10,8,11,4,Rock,Grass,3,0,0,0,0,0,0,8,-,Gilled,-,-,-,-,-,-,-,-,Medium,4,Water 3,-,Rock,Grass
Cranidos,7,13,4,3,3,6,Rock,,5,0,0,0,0,0,1,5,Mountain,Underdog,-,-,-,-,-,-,-,-,Medium,3,Monster,-,Rock,None
Crawdaunt,6,12,9,9,6,6,Water,Dark,6,0,5,0,1,1,1,5,-,Darkvision,Gilled,-,-,-,-,-,-,-,Medium,3,Water 1,Water 3,Water,Dark
Cresselia,12,7,12,8,13,9,Psychic,,5,7,4,0,0,1,2,8,-,Aura Reader,Dream Reader,Glow,Telekinetic,Telepath,-,-,-,-,Large,4,None,-,Psychic,None
Croagunk,5,6,4,6,4,5,Poison,Fight,5,0,5,0,0,2,3,3,-,Underdog,-,-,-,-,-,-,-,-,Small,2,Humanshape,-,Poison,Fighting
Crobat,9,9,8,7,8,13,Poison,Flying,3,8,2,0,0,1,1,5,-,Darkvision,Tracker,Mountable 1,-,-,-,-,-,-,Medium,4,Flying,-,Poison,Flying
Croconaw,7,8,8,6,6,6,Water,,7,0,7,0,0,1,2,5,Wetlands,Fountain,Underdog,-,-,-,-,-,-,-,Medium,2,Monster,Water 1,Water,None
Crustle,7,10,13,7,8,5,Bug,Rock,5,0,1,0,5,1,1,5,"Desert, Mountain",Groundshaper,-,-,-,-,-,-,-,-,Medium,6,Bug,Mineral,Bug,Rock
Cryogonal,7,5,3,10,14,11,Ice,,1,5,2,2,0,1,1,6,Tundra,Chilled,Freezer,-,-,-,-,-,-,-,Medium,5,Mineral,-,Ice,None
Cubchoo,6,7,4,6,4,4,Ice,,4,0,3,0,0,1,1,2,Tundra,Chilled,Freezer,Underdog,-,-,-,-,-,-,Small,1,Field,-,Ice,None
Cubone,5,5,10,4,5,4,Ground,,5,0,2,0,0,1,1,2,"Cave, Mountain",Darkvision,Underdog,Wielder,-,-,-,-,-,-,Small,1,Monster,-,Ground,None
Cyndaquil,4,5,4,6,5,7,Fire,,5,0,3,0,2,1,1,2,Grassland,Firestarter,Heater,Glow,Underdog,-,-,-,-,-,Small,1,Field,-,Fire,None
Darkrai,7,9,9,14,9,13,Dark,,5,8,4,0,0,2,3,7,-,Aura Reader,Darkvision,Dream Mist,Dream Reader,Invisibility,Phasing,Telepath,-,-,Large,4,None,-,Dark,None
Darmanitan,11,14,6,3,6,10,Fire,,7,0,3,0,0,1,2,8,"Desert, Mountain",Egg Warmer,Firestarter,Heater,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,None
Darmanitan Standard,11,14,6,3,6,10,Fire,,7,0,3,0,0,1,2,8,"Desert, Mountain",Egg Warmer,Firestarter,Heater,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,None
Darmanitan (Standard),11,14,6,3,6,10,Fire,,7,0,3,0,0,1,2,8,"Desert, Mountain",Egg Warmer,Firestarter,Heater,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,None
Darmanitan-Standard,11,14,6,3,6,10,Fire,,7,0,3,0,0,1,2,8,"Desert, Mountain",Egg Warmer,Firestarter,Heater,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,None
Darmanitan S,11,14,6,3,6,10,Fire,,7,0,3,0,0,1,2,8,"Desert, Mountain",Egg Warmer,Firestarter,Heater,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,None
Darmanitan (S),11,14,6,3,6,10,Fire,,7,0,3,0,0,1,2,8,"Desert, Mountain",Egg Warmer,Firestarter,Heater,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,None
Darmanitan-S,11,14,6,3,6,10,Fire,,7,0,3,0,0,1,2,8,"Desert, Mountain",Egg Warmer,Firestarter,Heater,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,None
Darmanitan Z,11,3,11,14,11,6,Fire,Psychic,4,0,2,0,0,1,1,2,"Desert, Mountain",Firestarter,Telekinetic,Telepath,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,Psychic
Darmanitan (Z),11,3,11,14,11,6,Fire,Psychic,4,0,2,0,0,1,1,2,"Desert, Mountain",Firestarter,Telekinetic,Telepath,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,Psychic
Darmanitan-Z,11,3,11,14,11,6,Fire,Psychic,4,0,2,0,0,1,1,2,"Desert, Mountain",Firestarter,Telekinetic,Telepath,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,Psychic
Darmanitan Zen,11,3,11,14,11,6,Fire,Psychic,4,0,2,0,0,1,1,2,"Desert, Mountain",Firestarter,Telekinetic,Telepath,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,Psychic
Darmanitan (Zen),11,3,11,14,11,6,Fire,Psychic,4,0,2,0,0,1,1,2,"Desert, Mountain",Firestarter,Telekinetic,Telepath,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,Psychic
Darmanitan-Zen,11,3,11,14,11,6,Fire,Psychic,4,0,2,0,0,1,1,2,"Desert, Mountain",Firestarter,Telekinetic,Telepath,Forme Change,-,-,-,-,-,Medium,4,Field,-,Fire,Psychic
Darumaka,7,9,5,2,5,5,Fire,,4,0,2,0,0,1,1,2,"Desert, Mountain",Heater,Firestarter,Underdog,-,-,-,-,-,-,Small,3,Field,-,Fire,None
Dedenne,7,6,6,8,7,10,Electric,Fairy,5,0,2,0,0,1,1,1,"Grassland, Forest",Zapper,Underdog,-,-,-,-,-,-,-,Small,1,Field,Fairy,Electric,Fairy
Deerling,6,6,5,4,5,8,Normal,Grass,4,0,0,0,0,2,1,2,"Grassland, Forest",Pack Mon,Underdog,-,-,-,-,-,-,-,Small,2,Field,-,Normal,Grass
Deino,5,7,5,5,5,4,Dark,Dragon,5,0,2,0,0,1,1,3,-,Blindsense,Underdog,-,-,-,-,-,-,-,Small,2,Dragon,-,Dark,Dragon
Delcatty,7,7,7,6,6,7,Normal,,7,0,4,0,0,2,3,2,Grassland,Tracker,Underdog,-,-,-,-,-,-,-,Medium,3,Field,Fairy,Normal,None
Delibird,5,6,5,7,5,8,Ice,Flying,4,8,6,0,0,3,4,4,Tundra,Chilled,Underdog,-,-,-,-,-,-,-,Medium,2,Water 1,Field,Ice,Flying
